strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
100200010101,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010102,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010103,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010104,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010105,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010106,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010201,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010202,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010203,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010204,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010205,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010206,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010207,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010208,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010209,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010210,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010301,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010302,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010303,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010304,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010401,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010402,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010501,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010502,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010601,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
100200010602,mWSSKx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
