locus	counts_pvalzero
S10_10066951.txt	100
S10_10106482.txt	0
S10_10106516.txt	0
S10_10106533.txt	0
S10_10202619.txt	100
S10_10202620.txt	100
S10_10202652.txt	100
S10_10327015.txt	3
S10_10655203.txt	0
S10_10655205.txt	0
S10_10655240.txt	0
S10_10655252.txt	0
S10_10713536.txt	0
S10_10713554.txt	0
S10_10767438.txt	100
S10_10767505.txt	0
S10_10813195.txt	0
S10_10813230.txt	100
S10_10914629.txt	55
S10_10914735.txt	48
S10_11143755.txt	19
S10_11143837.txt	100
S10_11143856.txt	53
S10_11159044.txt	0
S10_11162829.txt	0
S10_11233360.txt	0
S10_11233435.txt	38
S10_11317762.txt	15
S10_11353516.txt	0
S10_11454417.txt	100
S10_11454430.txt	10
S10_11454531.txt	100
S10_11554227.txt	95
S10_11554268.txt	87
S10_11554389.txt	100
S10_11554392.txt	100
S10_11588487.txt	0
S10_11588509.txt	0
S10_11674165.txt	5
S10_11674327.txt	0
S10_11678517.txt	0
S10_11724437.txt	18
S10_11724456.txt	17
S10_11776519.txt	1
S10_11978659.txt	6
S10_11979185.txt	0
S10_12068404.txt	100
S10_12068406.txt	0
S10_12068488.txt	5
S10_12068489.txt	4
S10_12068498.txt	24
S10_12068511.txt	29
S10_12085228.txt	100
S10_12266365.txt	22
S10_12269090.txt	60
S10_12321165.txt	12
S10_12346446.txt	25
S10_12346460.txt	14
S10_12346500.txt	34
S10_12346501.txt	22
S10_12622981.txt	0
S10_12859536.txt	48
S10_12906224.txt	0
S10_12912815.txt	0
S10_12912850.txt	76
S10_12912867.txt	74
S10_12912868.txt	75
S10_12912886.txt	55
S10_13018699.txt	63
S10_13026836.txt	100
S10_13060103.txt	0
S10_13068773.txt	35
S10_13294340.txt	100
S10_13294351.txt	2
S10_13294379.txt	82
S10_13349991.txt	60
S10_13349994.txt	48
S10_13536542.txt	100
S10_13589385.txt	57
S10_13590968.txt	71
S10_13591028.txt	0
S10_13641624.txt	22
S10_13692817.txt	81
S10_13711633.txt	89
S10_13711640.txt	0
S10_13711671.txt	92
S10_13711698.txt	1
S10_13745775.txt	0
S10_13817143.txt	0
S10_13886216.txt	52
S10_13952644.txt	100
S10_14048584.txt	62
S10_14104888.txt	0
S10_14224702.txt	49
S10_14244632.txt	44
S10_14346646.txt	0
S10_14346656.txt	0
S10_14420896.txt	20
S10_14420910.txt	18
S10_14438194.txt	1
S10_14481935.txt	18
S10_14481939.txt	45
S10_14638033.txt	0
S10_14658556.txt	0
S10_14658583.txt	0
S10_14658696.txt	17
S10_14721728.txt	47
S10_14721818.txt	100
S10_14758095.txt	16
S10_14758136.txt	23
S10_14758325.txt	5
S10_14758374.txt	16
